Name,Image Path,Type 1,Type 2,Description
Drednaw,pokemon_images/Drednaw.jpg,Water,Rock,"A large, cartoonish turtle-like creature with a spiky, multi-colored shell, featuring a prominent yellow horn and an expressive face with sharp teeth. The creature has a robust body with blue and brown colors, exuding a sense of strength and playfulness."
Dreepy,pokemon_images/Dreepy.jpg,Dragon,Ghost,"""Colorful creature with a sleek, elongated body and large, expressive eyes; features fins and a tail, suggesting a playful aquatic character; predominantly green with pink accents."""
Drifblim,pokemon_images/Drifblim.jpg,Ghost,Flying,"A cute, balloon-like creature with a purple body and fluffy white cloud on top, featuring red eyes, yellow legs, and a distinctive yellow cross mark on its front. It has a whimsical appearance, reminiscent of a jellyfish or balloon animal, with a rounded shape and four appendages."
Drifloon,pokemon_images/Drifloon.jpg,Ghost,Flying,"""Cartoonish purple bird with a round head, yellow beak, and small cloud on top, having a white body and yellow feet, in a playful, whimsical style."""
Drilbur,pokemon_images/Drilbur.jpg,Ground,,"""Cheerful cartoon mole with large claws, a round body, and a big smile, featuring a black and blue color scheme, arms raised in excitement."""
Drizzile,pokemon_images/Drizzile.jpg,Water,,"A cartoon-style blue amphibious creature with green limbs, a quirky expression, and a distinctive hairstyle, striking a dynamic pose reminiscent of a martial artist."
Drowzee,pokemon_images/Drowzee.jpg,Psychic,,"A cheerful, cartoon-style character with a large, round body, yellow skin, and a distinctive trunk-like nose. It has short limbs, a wide smile, and is striking a playful pose, raising one arm in excitement. The character's lower body is dark gray, creating a contrast with its bright upper half, giving it a whimsical appearance."
Druddigon,pokemon_images/Druddigon.jpg,Dragon,,"""Fierce dragon-like creature with a red and blue color scheme, sharp claws, spiked fins, and a menacing expression, standing in an aggressive pose."""
Dubwool,pokemon_images/Dubwool.jpg,Normal,,"A fluffy sheep with black and white patches, large curly gray wool, prominent curled horns, and a serious expression, standing on four sturdy legs amidst a plain background."
Ducklett,pokemon_images/Ducklett.jpg,Water,Flying,"A cute and cheerful blue bird character with a rounded body, large eyes, and a heart-shaped chest. It has small wings, a rounded beak, and a tuft of feathers on its head, positioned playfully with one wing raised. The overall atmosphere is light and whimsical, perfect for a children's theme."
Dudunsparce,pokemon_images/Dudunsparce.jpg,Normal,,"A vibrant, cartoonish, dragon-like creature with a yellow and blue body, large round eyes, and small, pointed fins, resembling a whimsical fantasy character."
Dugtrio,pokemon_images/Dugtrio.jpg,Ground,,"Three cartoonish mole-like creatures with round bodies, brown skin, and pink noses, standing on top of rocks. They have large, expressive eyes and a playful appearance."
Dunsparce,pokemon_images/Dunsparce.jpg,Normal,,"A small, cartoonish aquatic creature with a streamlined body, yellow and blue striped pattern, and large round eyes. It has small wings and a long, pointed tail, resembling a blend of a fish and an insect. The creature appears to be floating, emphasizing its whimsical and playful design."
Duosion,pokemon_images/Duosion.jpg,Psychic,,"""A cute, small green Pokémon with a round, blob-like body, featuring a white belly and a cheerful expression. It has large black eyes and a small triangular red beak, along with small, rounded appendages. The character appears soft and playful, embodying a friendly and endearing aura."""
Duraludon,pokemon_images/Duraludon.jpg,Steel,Dragon,"""White and blue humanoid creature with a cubic design, ice-themed features, sharp claws, and a distinctive angular head, resembling a Pokémon character."""
Durant,pokemon_images/Durant.jpg,Bug,Steel,"""Stylized metallic ant Pokémon with red eyes and unique shaped mandibles, depicted in a dynamic pose, showcasing its sleek body and distinct features."""
Dusclops,pokemon_images/Dusclops.jpg,Ghost,,"""Cartoonish gray and white ghost-like creature with a round body, a single red eye, and a spiraling, cloth-like head ornament. Its arms are made up of claw-like appendages, giving it a playful yet spooky appearance."""
Dusknoir,pokemon_images/Dusknoir.jpg,Ghost,,"""Dusknoir, a ghost-type Pokémon, features a robotic, ominous design with a round body, prominent collar, and a top hat-like element. Its arms are outstretched, and it has a menacing red eye, embodying a guardian of spirits."""
Duskull,pokemon_images/Duskull.jpg,Ghost,,"""An adorable ghost-type Pokémon with a skull-like face and a wispy, gray body, featuring a glowing red eye and a playful demeanor, set against a simple white background."""
Dustox,pokemon_images/Dustox.jpg,Bug,Poison,"A cute, cartoonish bug Pokémon with large, colorful wings and a happy expression, featuring purple body, pink feet, and distinctive yellow antennae, resting on vibrant green wings with red spots."
Dwebble,pokemon_images/Dwebble.jpg,Bug,Rock,"A small, cartoonish crab-like creature with large, expressive eyes and orange pincers, partially hidden in a gray rock shell. The creature has a surprised expression, and the overall style is colorful and playful, resembling an animated character."
Eelektrik,pokemon_images/Eelektrik.jpg,Electric,,"""Colorful cartoon fish character, with a long, snake-like body, large expressive eyes, and unique fins, featuring a mix of blue, red, and yellow colors, whimsical and playful design."""
Eelektross,pokemon_images/Eelektross.jpg,Electric,,"A blue and yellow serpent-like creature with fins, sharp teeth, and a playful pose, resembling a mythical water Pokémon."
Eevee,pokemon_images/Eevee.jpg,Normal,,"A cute, cartoonish creature resembling a small, fluffy fox-like animal with large ears and a bushy tail, featuring a light brown coat and a white fluffy collar, sitting down with a cheerful expression."
Eiscue,pokemon_images/eiscue-noice.jpg,Ice,,"A cute, cartoonish penguin character with a light blue head and an antenna, featuring a white belly and black wings. The penguin has a friendly expression and small orange feet, standing in a playful pose."
Ekans,pokemon_images/Ekans.jpg,Poison,,"""Purple snake-like creature with large yellow eyes and a gaping mouth, coiled body, and a distinctive tail with a rounded tip, cartoon style."""
Eldegoss,pokemon_images/Eldegoss.jpg,Grass,,"A cute, cartoonish green creature with leaf-like features, smiling joyfully, surrounded by a fluffy white cloud, conveying a cheerful and playful atmosphere."
Electabuzz,pokemon_images/Electabuzz.jpg,Electric,,"Electric-type Pokémon, yellow and black striped body, muscular pose, lightning bolt pattern, cheerful expression, anthropomorphic features, large fists raised, character from a popular franchise."
Electivire,pokemon_images/Electivire.jpg,Electric,,"""Electivire, an electric-type Pokémon, features a muscular yellow and black body with fur-like textures, prominent antennae, and red eyes, showcasing a fierce expression and outstretched arms."""
Electrike,pokemon_images/Electrike.jpg,Electric,,"A small, green, cartoonish creature resembling a dog, with large yellow markings on its head and back, sharp teeth, and an expressive, fierce posture. It features pointed ears and a spiky tail, showcasing a playful yet aggressive demeanor."
Electrode,pokemon_images/Electrode.jpg,Electric,,"""Cartoon character of a round, smiling face with a white top half and a red bottom half, featuring two mischievous eyes and a wide grin, resembling a playful ball."""
Elekid,pokemon_images/Elekid.jpg,Electric,,"A cartoonish yellow creature with long ears and a round body, featuring black stripes and clawed hands, has an angry facial expression and is depicted in a dynamic pose, suggesting movement or action."
Elgyem,pokemon_images/Elgyem.jpg,Psychic,,"""An alien-inspired creature with a smooth, light blue body, large rounded head, and prominent green eyes. It has thin, black markings on its head and limbs, and its hands feature colorful, glowing tips. The character exudes a friendly and playful vibe, resembling a cartoon-style extraterrestrial being."""
Emboar,pokemon_images/Emboar.jpg,Fire,Fighting,"Fire-type Pokémon with a muscular build, adorned with flames and tribal patterns in shades of orange, black, and yellow. Features large claws and a fierce expression, reminiscent of a wild boar. The character's design includes a spiral pattern on its body and a short, spiky tail, set against a simple white background."
Emolga,pokemon_images/Emolga.jpg,Electric,Flying,"A cheerful, cartoonish creature resembling a small, adorable rodent with black and yellow markings, large ears, and a swooping tail, joyfully jumping with a wide smile."
Empoleon,pokemon_images/Empoleon.jpg,Water,Steel,"""An anthropomorphic penguin-like creature with a regal appearance, featuring a predominantly black and white body, blue accents, and a distinctive golden crown-like crest on its head. It stands confidently, showcasing a unique blend of aquatic and avian traits."""
Enamorus,pokemon_images/enamorus-therian.jpg,Fairy,Flying,"""Colorful cartoon turtle creature with a pink and brown shell, adorned with heart patterns, fluffy white texture underneath, expressive eyes, and whimsical curly antennae."""
Entei,pokemon_images/Entei.jpg,Fire,,"Legendary Pokémon, large canine figure with a fierce expression, primarily brown fur with red and yellow accents, sharp spiky back, collar and leg bands."
Escavalier,pokemon_images/Escavalier.jpg,Bug,Steel,"""An armored creature resembling a knight, featuring a large shell as its torso, adorned with a red crest on its head. It has sharp, pointed appendages and a fierce expression, embodying a combination of armor and insect-like attributes, set against a plain background."""
Espathra,pokemon_images/Espathra.jpg,Psychic,,"A whimsical, stylized creature resembling a mix between an ostrich and a dinosaur, featuring vibrant yellow and orange colors, a unique shell-like head, and long, multi-colored limbs with patterned details. The creature stands on two legs, showcasing a playful and fantastical design that blends natural and imaginative elements."
Espeon,pokemon_images/Espeon.jpg,Psychic,,"A sleek, pale purple feline creature with large, pointed ears and a distinctive red gem on its forehead, sitting gracefully with a long, slender tail and captivating blue eyes, exuding an air of elegance and mystery."
Espurr,pokemon_images/Espurr.jpg,Psychic,,"A small, cute gray creature with curly fur, big round purple eyes, and small horns, looking curiously at the viewer. Its body is rounded and fluffy, with a simple design suitable for a fictional character in a family-friendly setting."
Eternatus,pokemon_images/Eternatus.jpg,Poison,Dragon,"""Futuristic, geometric dragon with sharp angular features, primarily in red and black. It has elongated limbs, a segmented spine, and intricate details resembling digital art. The design blends elements of fantasy and modern aesthetics."""
Excadrill,pokemon_images/Excadrill.jpg,Ground,Steel,"A large, burrowing Pokémon with a dark brown body and distinctive silver claws and spikes. It has a round, plump shape, red markings on its sides, and a determined expression. The creature appears to be in a dynamic pose, showcasing its powerful stance and digging abilities."
Exeggcute,pokemon_images/Exeggcute.jpg,Grass,Psychic,"A group of cartoon-style eggs with varying expressions, including a cracked egg with a yellow interior, showcasing a mix of annoyed and mischievous looks. The eggs have minimal detailing, emphasizing their animated character design."
Exeggutor,pokemon_images/Exeggutor.jpg,Grass,Psychic,"A whimsical creature with a brown, spiky body resembling a palm tree trunk and three green leafy fronds on top. It has two faces with smiling expressions, one of which has a tongue sticking out. The character portrays a mix of happiness and playfulness, set against a simple white background, embodying a cheerful, imaginative vibe."
Exploud,pokemon_images/Exploud.jpg,Normal,,"""An animated purple creature with a wide mouth, prominent fangs, and yellow spikes on its head and back, expressing a loud roar. It has a stout body and small limbs, conveying a sense of energy and enthusiasm."""
Falinks,pokemon_images/Falinks.jpg,Fighting,,"A cartoonish, yellow and black creature with spikes, featuring large blue eyes and a round body, resembling a playful, stylized bug or toy. It has a series of similar creatures trailing behind it, creating a fun and whimsical lineup."
Farfetch'd,pokemon_images/Farfetch'd.jpg,Normal,Flying,"A cartoonish bird-like character holding green onions, with a sleek gray body, a distinct beak, and large expressive eyes. The character has an exaggerated hand pose, showcasing the vegetables, and a tuft of feathers on its head."
Farigiraf,pokemon_images/Farigiraf.jpg,Normal,Psychic,"""Cartoon character of a whimsical giraffe with a black and yellow hat, colorful spots, large expressive eyes, and a playful pose, featuring a mix of orange and cream colors"""
Fearow,pokemon_images/Fearow.jpg,Normal,Flying,"A large, cartoonish bird with a brown and cream color scheme, featuring a prominent red crest, outstretched wings, and a long beak, in mid-flight against a simple background."
Feebas,pokemon_images/Feebas.jpg,Water,,"""Cartoonish fish character with a round body, pebbled texture, prominent bulging eyes, and a distinctive lip, featuring blue fins and a top loop. Bright and whimsical, suitable for a playful aquatic theme."""
Fennekin,pokemon_images/Fennekin.jpg,Fire,,"""Flame-tinged fox-like creature with big ears, bright yellow fur, and expressive red eyes, striking a playful pose."""
Feraligatr,pokemon_images/Feraligatr.jpg,Water,,"A blue crocodile-like Pokémon with a large, muscular body, prominent red spines on its head and back, and sharp claws, showcasing an energetic stance with its mouth open in a playful roar."
Ferroseed,pokemon_images/Ferroseed.jpg,Grass,Steel,"Spiky metallic egg creature with green spikes and yellow eyes, cartoonish style, resembling a Pokémon."
Ferrothorn,pokemon_images/Ferrothorn.jpg,Grass,Steel,"A round, metallic creature with a spiked silver body, featuring three green, spiked appendages and piercing yellow eyes. The creature has two long, green tendrils with bulbous ends, resembling a whimsical blend of machinery and plant life. It's set against a simple white background."
Fezandipiti,pokemon_images/Fezandipiti.jpg,Poison,Fairy,"A stylized bird creature with striking black and white feathers, adorned with ornamental golden horns and a vibrant pink crest. It has a majestic posture, showcasing its large wings and a decorative chest emblem in pink, blending elements of elegance and fierce demeanor."
Fidough,pokemon_images/Fidough.jpg,Fairy,,"""Cartoon-style cute dog with a round body and yellow and white markings, large expressive eyes, and floppy ears, resembling an animated pet character."""
Finizen,pokemon_images/Finizen.jpg,Water,,"A playful, cartoon-style dolphin with a bright blue body, large expressive eyes, and a distinctive swirl pattern, swimming joyfully in the ocean."
Finneon,pokemon_images/Finneon.jpg,Water,,"""An adorable cartoon-style fish with a predominantly black body, light blue fins, and pink accents, featuring large expressive eyes and a streamlined shape, swimming gracefully in a whimsical underwater setting."""
Flaaffy,pokemon_images/Flaaffy.jpg,Electric,,"A cute, pink sheep-like creature with curly white fur and a playful expression, featuring a blue orb on its tail and a rounded body, designed in a cartoon style."
Flabébé,pokemon_images/flabebe.jpg,Fairy,,"""Whimsical fairy-like creature perched on a vibrant red flower, with delicate wings and a cheerful expression, surrounded by round yellow pollen spheres, emphasizing a magical and playful atmosphere."""
Flamigo,pokemon_images/Flamigo.jpg,Flying,Fighting,"A cartoon pink flamingo standing on one leg, with a stylized, exaggerated body and a large eye, showcasing a playful and whimsical design."
Flapple,pokemon_images/Flapple.jpg,Grass,Dragon,"A small, cartoonish creature hatching from an egg, featuring a green body with large, expressive eyes, a red flower-like hat, and a cracked shell around it. The character appears lively and whimsical, with a playful pose that captures a sense of fun and innocence."
Flareon,pokemon_images/Flareon.jpg,Fire,,"""An energetic orange fox-like creature with large ears and a fluffy mane, characterized by its playful stance and sparkling blue eyes, surrounded by a soft glow akin to fire."""
Fletchinder,pokemon_images/Fletchinder.jpg,Fire,Flying,"""Stylized cartoon bird with a vibrant orange head and sleek black wings, featuring a blue chest and striking yellow accents, standing in a dynamic pose."""
Fletchling,pokemon_images/Fletchling.jpg,Normal,Flying,"A small, cartoonish bird with an orange round body, black beak, and large eyes, featuring blue wings and a tail with black and white patterns, depicted in a playful running pose."
Flittle,pokemon_images/Flittle.jpg,Psychic,,"A cute, yellow, round creature with large teal eyes, a small beak, and a flowing scalloped cape. It features two prominent white ribbons on the top of its head and has a sweet, whimsical appearance."
Floatzel,pokemon_images/Floatzel.jpg,Water,,"""An anthropomorphic creature with orange and cream fur, sporting a playful expression. It has blue flippers on its arms and a bushy tail, standing confidently with its arms crossed. The character is designed for a whimsical, animated style, resembling a blend of a mammal and a water-themed creature."""
Floette,pokemon_images/Floette.jpg,Fairy,,"""Cheerful flower-themed creature with a green and white body, large red flower on its head, expressive eyes, and playful pose, set against a light background."""
Floragato,pokemon_images/Floragato.jpg,Grass,,"A mischievous green feline creature with large ears, striking pink eyes, and a playful stance. It has a leafy pattern on its body, a green scarf around its neck, and holds a pink candy-like object in one paw. The character exudes a blend of charm and mischief, standing confidently with an engaging expression in a vibrant anime style."
Florges,pokemon_images/Florges.jpg,Fairy,,"""An elegant, humanoid flower creature with a vibrant, colorful floral head composed of pink and purple petals, adorned with small yellow flowers. Its long, flowing green body resembles a mermaid's tail, with leaf-like fins extending from both arms and the bottom. The creature exudes a serene, enchanting aura, blending features of plant life and graceful movement."""
Flutter Mane,pokemon_images/Flutter Mane.jpg,Ghost,Fairy,"""An elegant, ghostly creature with a dark teal body, sharp spikes in red and green, and large, expressive yellow eyes. It has flowing, wing-like appendages that extend from its sides and a distinct collar of red orbs. The overall appearance is whimsical and slightly ominous, embodying a mystical vibe."""
Flygon,pokemon_images/Flygon.jpg,Ground,Dragon,"A green, dragonfly-like Pokémon with large, translucent wings, red eyes, and a long, slender body. The character has a playful expression and is posed mid-flight, showcasing its vibrant colors and unique design."
Fomantis,pokemon_images/Fomantis.jpg,Grass,,"Cute pastel-colored creature with a green leafy head, large pink eyes, and a small pink body, resembling a plant Pokémon with a friendly expression, in a cartoonish art style."
Foongus,pokemon_images/Foongus.jpg,Grass,Poison,"Cute cartoon mushroom creature with a white cap and a pink nose, resembling a stylized character from a fantasy world, with small hands and a smiling expression."
Forretress,pokemon_images/Forretress.jpg,Bug,Steel,"A spherical Pokémon character resembling a rock with a light gray and white surface, featuring red circular spikes protruding from its sides, and large black eyes with white pupils. The character has a rugged, textured appearance, evoking a sense of both playfulness and toughness."
Fraxure,pokemon_images/Fraxure.jpg,Dragon,,"""Animated cartoon character, green and gray creature with a large mouth and sharp teeth, wearing a helmet-like headpiece, featuring red accents and a dinosaur-like body, standing in a dynamic pose."""
Frigibax,pokemon_images/Frigibax.jpg,Dragon,Ice,"Cartoonish creature with a round body, gray skin, large eyes, and yellow accents, striking a dynamic pose, playful and expressive demeanor."
Frillish,pokemon_images/Frillish.jpg,Water,Ghost,"""An ethereal, ghostly creature with a round, light blue body, large red eyes, and flowing, tentacle-like limbs. It has a delicate collar and a small crown-like structure on its head, exuding a mystical and whimsical aura."""
Froakie,pokemon_images/Froakie.jpg,Water,,"A blue frog-like creature with large round eyes and a cloud-like feature on its back, sitting with one hand raised in a curious gesture. The character has a smooth, shiny body and prominent white hands and feet, exuding a playful yet contemplative demeanor."
Frogadier,pokemon_images/Frogadier.jpg,Water,,"""Cartoon frog character with blue skin, yellow eye, and cloud-like white markings on its body, striking a dynamic pose, vibrant and playful style."""
Froslass,pokemon_images/Froslass.jpg,Ice,Ghost,"""An ice-type Pokémon with a whimsical design, featuring a predominantly white body, blue accents, and a striking yellow eye, playfully posing with one hand to its chin. It has triangular crystal-like structures on its head and a sleek, fish-like tail."""
Frosmoth,pokemon_images/Frosmoth.jpg,Ice,Bug,"Elegant, ethereal white moth with oversized wings, shimmering patterns, large expressive eyes, and a soft, rounded body. The creature embodies a mystical, otherworldly presence, set against a simple background."
Fuecoco,pokemon_images/Fuecoco.jpg,Fire,,"""Colorful cartoon dinosaur character with a large mouth, small limbs, and a cheerful expression, featuring a predominantly red body with yellow and black accents, ideal for a playful and friendly aesthetic."""
Furfrou,pokemon_images/Furfrou.jpg,Normal,,"Fluffy, white dog-like creature with sharp fur, red eyes, and a long tail, standing in a confident pose."
Furret,pokemon_images/Furret.jpg,Normal,,"""An adorable cartoon character resembling a small, plump creature with a striped tail and large eyes, standing in a cheerful pose with an open mouth, embodying a playful and friendly demeanor."""
Gabite,pokemon_images/Gabite.jpg,Dragon,Ground,"A blue, reptilian creature with sharp claws and prominent horns, standing in a dynamic pose. It has a muscular build, a red underside, and is adorned with spiky features on its back. The creature has an intense expression with bright yellow eyes, exuding a sense of power and readiness for battle."
Gallade,pokemon_images/Gallade.jpg,Psychic,Fighting,"""An elegant and determined humanoid Pokémon with a white body, green arms, and a teal head crest, standing in a dynamic pose with a focused expression, showcasing its psychic and fighting abilities."""
Galvantula,pokemon_images/Galvantula.jpg,Bug,Electric,"A vibrant, cartoon-style spider-like creature with a yellow and purple body, large round eyes, and long, spiky limbs. The creature has a playful and friendly appearance, featuring blue accents on its legs and back."
Garbodor,pokemon_images/Garbodor.jpg,Poison,,"""Cartoon-style monster, resembling a creature made of mud and rocks, with multi-colored gemstones embedded, large mouth and expressive eyes, grassy hair-like features, and multiple appendages with a playful demeanor."""
Garchomp,pokemon_images/Garchomp.jpg,Dragon,Ground,"A fierce dragon-type Pokémon with a stocky build, sharp fangs, and prominent spiky fins. It features a blue and gray body with a red underbelly and yellow accents, showcasing impressive claws and a commanding stance."
Gardevoir,pokemon_images/Gardevoir.jpg,Psychic,Fairy,"A graceful green and white Pokémon with a flowing gown, large expressive eyes, and long, slender arms, embodying elegance and psychic abilities. The character has a distinctly feminine silhouette and a serene expression, standing in a dynamic pose."
Garganacl,pokemon_images/Garganacl.jpg,Rock,,"""Fantasy stone golem character with a blocky, rock-like body, yellow eyes, and a sturdy, powerful stance, featuring arms made of different textured rocks, in a playful, cartoonish style."""
Gastly,pokemon_images/Gastly.jpg,Ghost,Poison,"""Cartoon-style ghost Pokémon with a round, black body, large glowing eyes, sharp fangs, and a purple mist swirling around it, exuding a mischievous and playful aura."""
Gastrodon,pokemon_images/Gastrodon.jpg,Water,Ground,"""Colorful, cartoonish slug-like creature with a brown and pink body, round eyes, and decorative yellow markings, resembling an animated character from a fantasy world."""
Genesect,pokemon_images/Genesect.jpg,Bug,Steel,"A humanoid, purple robotic creature with a sleek design, large eyes, and a mischievous grin. It has slender limbs and features that suggest speed and agility. Its upper body includes a distinctive, cannon-like structure on its head, giving it a futuristic appearance. The overall aesthetic is playful yet menacing, set against a simple, minimalistic background."
Gengar,pokemon_images/Gengar.jpg,Ghost,Poison,"A mischievous purple ghost Pokémon with sharp teeth, floating and grinning widely, surrounded by a playful aura."
Geodude,pokemon_images/Geodude.jpg,Rock,Ground,"A rocky Pokémon with muscular arms and a determined expression, showcasing strength and resilience, featuring a gray stone-like body and fierce eyes."
Gholdengo,pokemon_images/Gholdengo.jpg,Steel,Ghost,"A cheerful yellow cartoon character with a playful design, featuring a slender body and multiple wavy appendages resembling a fountain. It has a bright smile and wears a black belt with a silver buckle, striking a friendly pose. The character embodies a sense of fun and creativity."
Gible,pokemon_images/Gible.jpg,Dragon,Ground,"A blue, shark-like creature with a large mouth, sharp teeth, and a playful expression, featuring rounded fins and a vibrant orange belly."
Gigalith,pokemon_images/Gigalith.jpg,Rock,,"""Rock-type creature with a rugged, jagged appearance, featuring sharp red crystals and a dark gray body, sitting in a relaxed pose, with glowing yellow eyes."""
Gimmighoul,pokemon_images/Gimmighoul.jpg,Ghost,,"A whimsical treasure chest overflowing with gold coins, featuring a small, cheerful robot with glasses peeking out from inside, cartoon style, vibrant colors."
Girafarig,pokemon_images/Girafarig.jpg,Normal,Psychic,"Giraffe-like Pokémon with yellow and brown coloration, featuring a unique head with two antennae and a tail with a round, eye-like structure, expressive pose, cartoon style."
Giratina,pokemon_images/giratina-origin.jpg,Ghost,Dragon,"""Legendary creature with a serpentine body, gold and black color scheme, long shadowy tendrils, and spiked accents, exuding an aura of power and mystery."""
Glaceon,pokemon_images/Glaceon.jpg,Ice,,"A sleek, ice-type creature resembling a feline, with a light blue and white coat, large pointed ears, and a graceful tail adorned with triangular icy blue accents. The character has a serene expression, embodying elegance and a frosty aesthetic, perfect for a fantasy atmosphere."
Glalie,pokemon_images/Glalie.jpg,Ice,,"""An animated character resembling a snow-covered creature with a round, white, and black textured body, large blue eyes, pointed ears, and a menacing grin, set against a plain background."""
Glameow,pokemon_images/Glameow.jpg,Normal,,"A sleek, gray cat-like creature with a long, curled tail and big pink ears, sitting gracefully with a confident expression. Its eyes are yellow with a hint of turquoise, and it has a fluffy white tuft at the end of its tail. The overall design is whimsical and playful, embodying a mystical feline character."
Glastrier,pokemon_images/Glastrier.jpg,Ice,,"A majestic ice-themed creature resembling a horse, with a predominantly white body and crystalline blue accents on its legs, mane, and horn, exuding a frosty aura."
Gligar,pokemon_images/Gligar.jpg,Ground,Flying,"A playful pink Pokémon with large ears, wide eyes, and bat-like wings, striking a cheerful pose with an open mouth and prominent claws."
Glimmet,pokemon_images/Glimmet.jpg,Rock,Poison,"A whimsical, ghostly Pokémon characterized by a purple, elongated body and a blue, star-shaped head with bright yellow eyes, set against a plain background. The design combines elements of floral and spectral themes, creating a unique and enchanting appearance."
Glimmora,pokemon_images/Glimmora.jpg,Rock,Poison,"""Cartoon-style aquatic creature, resembling a blue shell with a pointed beak and yellow eyes, round and smooth shape, vibrant colors, whimsical and playful design."""
Gliscor,pokemon_images/Gliscor.jpg,Ground,Flying,"""Cartoon character design of a bat-like creature with a scorpion tail, featuring large pincers, yellow eyes, and a mischievous grin, set against a simple background."""
Gloom,pokemon_images/Gloom.jpg,Grass,Poison,"""An adorable, cartoonish creature with a round blue body, droopy eyes, and a large, fluffy red and brown hairstyle resembling a flower. It has a small, frowning mouth with some drool, giving it a tired or sad appearance, set against a simple, white background."""
Gogoat,pokemon_images/Gogoat.jpg,Grass,,"A stylized creature resembling a goat with prominent curved horns, covered in a lush green mane and a brown body. It has fierce red eyes, a playful stance, and pink-tipped hooves, embodying a whimsical yet robust personality. The design features intricate details in fur texture and color patterns, set against a simple background."
Golbat,pokemon_images/Golbat.jpg,Poison,Flying,"A cartoon bat-like creature with a blue body, large purple wings, and an open mouth revealing sharp fangs, flying energetically."
Goldeen,pokemon_images/Goldeen.jpg,Water,,"""Cartoonish goldfish character with white and orange markings, a small horn on its head, and a slightly bored expression, swimming gracefully in water."""
Golduck,pokemon_images/Golduck.jpg,Water,,"""Cartoon character, blue amphibious creature with a duck-like bill, spiky back, and sharp claws, displaying an aggressive pose with an open mouth and red eyes."""
Golem,pokemon_images/Golem.jpg,Rock,Ground,"A rock-type Pokémon resembling a large, armored tortoise, with a rocky shell, purple accents, a fierce expression, and prominent claws."
Golett,pokemon_images/Golett.jpg,Ground,Ghost,"A rocky, humanoid creature stands confidently with its fist raised, adorned with a spiral emblem on its chest. Its body features a blend of blue and teal colors, with earthy-toned accents and a rugged, sturdy appearance. The character exudes an aura of strength and determination."
Golisopod,pokemon_images/Golisopod.jpg,Bug,Water,"""Futuristic armored creature with a bulky white and gray body, prominent purple accents, and clawed appendages. It has sharp spikes and an imposing, menacing posture, evoking a sense of power and technology."""
Golurk,pokemon_images/Golurk.jpg,Ground,Ghost,"Ancient stone golem with a robust body and intricate markings, featuring large arms and a central core. The golem has a blue-green color scheme, with golden accents and a mechanical design that hints at its magical origin. Its posture is strong and imposing, reflecting its status as a guardian."
Goodra,pokemon_images/Goodra.jpg,Dragon,,"A whimsical, friendly dragon-like creature with a smooth, glossy purple body, long antennae-like appendages, and green spots, exuding a gentle, slimy substance. Its large, expressive eyes and playful stance evoke a sense of charm and approachability, set against a simple, clean background."
Goomy,pokemon_images/Goomy.jpg,Dragon,,"A cute, cartoonish, purple slug-like creature with large round eyes, two antennae, and green markings on its body, set against a plain white background."
Gorebyss,pokemon_images/Gorebyss.jpg,Water,,"A whimsical pink creature with a long, slender body, large eyes, and playful fins, resembling a fish or sea creature, featuring a bow on its side and delicate, curved antennae."
Gossifleur,pokemon_images/Gossifleur.jpg,Grass,,"A whimsical, cartoon-style character with a large yellow flower for a head, featuring green leaves and flowing red hair, set against a simple background. The character has a friendly expression, embodying a playful and vibrant aura."
Gothita,pokemon_images/Gothita.jpg,Psychic,,"A cute, cartoonish creature with a round, purple body, large expressive blue eyes, and prominent white bow-like structures on its head and chest. It has a small mouth and a patterned lower body featuring black and white zigzags. The character appears lively and cheerful."
Gothitelle,pokemon_images/Gothitelle.jpg,Psychic,,"""Stylized character with long, spiky black hair and striking blue eyes, wearing a dress made of layered black and white bows, posing dramatically with one arm extended."""
Gothorita,pokemon_images/Gothorita.jpg,Psychic,,"A playful and whimsical character with a black and white color scheme, featuring large hair buns and a stylish pose. The character has expressive blue eyes and a purple face, adorned with white accents resembling a dress. Ideal for a fantasy or animation context."
Gourgeist,pokemon_images/Gourgeist.jpg,Ghost,Grass,"""Whimsical ghostly figure with a pumpkin-like bottom, adorned with playful facial features and a flowing pink hair, blending Halloween vibes and charm."""
Grafaiai,pokemon_images/Grafaiai.jpg,Poison,Normal,"""Colorful cartoon creature with large expressive eyes, a playful stance, and spiky hair, holding a sweet treat with blue and pink drips, featuring a black and gray fur pattern and a whimsical look."""
Granbull,pokemon_images/Granbull.jpg,Fairy,,"A fierce, pink cartoon creature with large ears and prominent teeth, standing in an aggressive pose, showcasing a black collar around its neck. The creature has a rounded body and expresses a determined demeanor."
Grapploct,pokemon_images/Grapploct.jpg,Fighting,,"A blue, cartoonish octopus-like character with a bold yellow star on its forehead and large, expressive eyes, posing with one arm extended. It has a sleek body and multiple tentacles, showcasing a playful yet confident demeanor."
Graveler,pokemon_images/Graveler.jpg,Rock,Ground,"A rocky, humanoid creature with a light gray, textured body, sharp edges, and a mischievous expression. It has large arms reaching forward and a prominent, pinkish mouth. The creature appears vibrant and animated, exuding a playful energy."
Great Tusk,pokemon_images/Great Tusk.jpg,Ground,Fighting,"A large, cartoonish creature resembling a dinosaur, featuring a rounded body with dark blue and purple scales, adorned with pink fur on its feet and back. It has two long, curved horns protruding from its head and sharp spikes along its back. The creature has a playful yet fierce expression, with notable red markings on its sides."
